Ticker,Shares
RY.TO,373.266412596033
AGN.CN,312499.0598426866
MO,719.8029536375212
TXN,441.2108206955561
PG,261.24963784426063
UNP,158.323484704749
USB,1362.782697677494
BAC,578.6576730811973
ACN,116.22088699768007
KO,396.74389098294944
PM,180.90407037580596
AAPL,100.16809471038644
QCOM,349.81924381056814
BA,132.1715548359662
C,540.6591582087779
LMT,50.11626973959429
TD.TO,281.62958859267667
MRK,213.88312518830696
CAT,36.66135679673397
BK,171.4966755143877
